,0
0,-1.2742199
1,-2.181901
2,-2.8436012
3,-3.8899062
4,-2.4740992
5,-2.159456
6,-2.2436352
7,-2.621468
8,-2.8142202
9,-4.2527165
10,-3.6005094
11,-4.8402967
12,-4.92954
13,-3.9815164
14,-3.756422
15,-1.4181311
16,-1.634425
17,-2.1669025
18,-1.439166
19,-2.620313
20,-3.0085423
21,-2.6896887
22,-3.782623
23,-4.0323668
24,-1.9966236
25,-4.3816886
26,-1.9237083
27,-0.9742644
28,-1.133288
29,-1.1442236
30,1.0289897
31,-0.8196514
32,0.14456151
33,-2.9387536
34,-3.6126003
35,-2.1732852
36,-3.5270596
37,-3.3650246
38,-3.730058
39,-4.589116
40,-4.675157
41,-2.5983145
42,-5.137931
43,-4.4556136
44,-4.6374307
45,-3.550329
46,-2.5092404
47,-4.297703
48,-2.9279695
49,-5.2308664
50,-5.275988
51,-4.189693
52,-4.415528
53,-6.0870194
54,-3.2992053
55,-3.0356398
56,-4.8803234
57,-5.6016
58,-5.5251193
59,-5.482731
60,-6.1756077
61,-4.897274
62,-5.732571
63,-2.268804
64,-1.9633375
65,-3.536375
66,-3.4295743
67,-3.0887537
68,-5.2524276
69,-4.0837126
70,-4.4425
71,-5.4753757
72,-4.6025186
73,-3.9923625
74,-4.823768
75,-5.2068214
76,-4.0392494
77,-3.02563
78,-4.456223
79,-2.5155284
80,-3.248624
81,-3.9730783
82,-4.9149623
83,-4.253469
84,-3.3896515
85,-1.2546002
86,-3.3495038
87,-4.6900706
88,-3.5767252
89,-2.6853397
90,-3.263419
91,-3.628084
92,-3.6342018
93,-4.2361336
94,-3.3050091
95,-1.9786954
96,-3.3915205
97,-0.32372007
98,-0.1635748
99,-0.98784983
100,0.5909536
101,0.43458754
102,-1.1474413
103,-0.97670364
104,0.37302992
105,-1.4600579
106,-2.0468247
107,-1.9143647
108,-0.95297134
109,-1.2906495
110,0.62267345
111,-0.4346775
112,0.8305004
113,0.30058077
114,-0.77599895
115,0.060586277
116,1.8737122
117,0.26890293
118,0.35732323
119,-0.18510215
120,-1.1001325
121,1.7284169
122,0.4905436
123,2.1116207
124,1.9496216
125,2.5405855
126,1.890946
127,0.78975946
128,1.8167074
129,3.1357079
130,2.5573566
131,-0.40735126
132,0.45687652
133,-0.1377633
134,-1.312046
135,-1.900918
136,1.4046869
137,1.0431994
138,0.7602125
139,2.3393598
140,1.4070514
141,-0.72667694
142,-2.3125098
143,0.21549249
144,0.40972814
145,0.39818972
146,1.0094728
147,2.349091
148,2.4835505
149,2.0304139
150,0.50749755
151,-0.36076462
152,0.9544347
153,1.6987929
154,0.57325083
155,-0.10257056
156,-1.7825999
157,-1.3136687
158,-0.7947925
159,1.5694783
160,-1.6705072
161,-1.6994234
162,-3.0388145
163,-3.8350098
164,-3.1046968
165,-2.1336374
166,-1.5557427
167,-2.103925
168,-2.707914
169,-4.0282426
170,-3.666838
171,-1.34646
172,-1.3999639
173,-3.1305795
174,-2.6716893
175,-3.6745086
176,-1.4144355
177,-3.1725814
178,-4.4822035
179,-3.3394141
180,-3.0825
181,-1.7109783
182,-3.4087105
183,-3.0983148
184,-2.7349262
185,-1.2682028
186,2.1012003
187,2.0680387
188,-1.0333045
189,0.1021278
190,1.8303223
191,0.6754209
192,2.4883416
193,1.2898922
194,1.833166
195,2.4564338
196,1.1250746
197,0.38438368
198,2.4549894
199,2.927387
200,2.2175367
201,1.6948072
202,-0.24916983
203,-0.8947122
204,-2.0431707
205,-3.983222
206,-1.7929122
207,1.0775181
208,1.0864745
209,-0.27925274
210,-1.9299877
211,-2.6470706
212,-1.4300611
213,-2.427374
214,-0.9794823
215,-2.215221
216,-2.8452682
217,-1.4495279
218,0.008294454
219,-1.5252591
220,0.7584296
221,-0.4338484
222,-1.8276639
223,-3.4537578
224,-3.5354059
